uid,body,connections,reward,env_name,generated_by
ade107fc-160d-4efe-8cbb-9990b84bff6e,"[array([0, 0, 2, 4, 0], dtype=int64) array([4, 2, 1, 3, 0], dtype=int64)
 array([0, 4, 3, 4, 0], dtype=int64) array([4, 3, 0, 4, 3], dtype=int64)
 array([1, 2, 4, 0, 0], dtype=int64)]","[array([ 2,  2,  3,  5,  6,  6,  7,  7,  8, 11, 11, 12, 13, 15, 15, 16, 18,
        20, 21], dtype=int64)
 array([ 3,  7,  8,  6,  7, 11,  8, 12, 13, 12, 16, 13, 18, 16, 20, 21, 19,
        21, 22], dtype=int64)                                              ]",0.813606,Traverser-v0,Genetic Algorithm
0a9e3e52-ba95-4aef-9a7c-8c6123efc293,"[array([0, 3, 0, 3, 2], dtype=int64) array([0, 3, 0, 4, 4], dtype=int64)
 array([1, 2, 4, 2, 3], dtype=int64) array([4, 4, 3, 4, 0], dtype=int64)
 array([2, 2, 0, 2, 0], dtype=int64)]","[array([ 1,  3,  3,  4,  6,  8,  8,  9, 10, 10, 11, 11, 12, 12, 13, 13, 15,
        15, 16, 16, 17, 18, 20], dtype=int64)
 array([ 6,  4,  8,  9, 11,  9, 13, 14, 11, 15, 12, 16, 13, 17, 14, 18, 16,
        20, 17, 21, 18, 23, 21], dtype=int64)                              ]",0.215566,Carrier-v0,Genetic Algorithm
60eec10e-e1dc-447d-9344-efbe0c1fc86e,"[array([1, 1, 0, 3, 3], dtype=int64) array([1, 3, 4, 0, 3], dtype=int64)
 array([0, 0, 1, 2, 1], dtype=int64) array([3, 0, 1, 3, 1], dtype=int64)
 array([3, 2, 1, 0, 0], dtype=int64)]","[array([ 0,  0,  1,  3,  4,  5,  6,  7,  9, 12, 12, 13, 13, 14, 15, 17, 17,
        18, 20, 21], dtype=int64)
 array([ 1,  5,  6,  4,  9,  6,  7, 12, 14, 13, 17, 14, 18, 19, 20, 18, 22,
        19, 21, 22], dtype=int64)                                          ]",-5.030099299999999,Catcher-v0,Genetic Algorithm
f57a686a-e6b5-48cb-a426-4aa559178a40,"[array([0, 0, 3, 0, 0], dtype=int64) array([1, 1, 2, 4, 1], dtype=int64)
 array([1, 0, 2, 4, 1], dtype=int64) array([1, 4, 0, 0, 4], dtype=int64)
 array([1, 0, 0, 0, 3], dtype=int64)]","[array([ 2,  5,  5,  6,  7,  7,  8,  8,  9, 10, 12, 13, 14, 15, 15, 19],
       dtype=int64)
 array([ 7,  6, 10,  7,  8, 12,  9, 13, 14, 15, 13, 14, 19, 16, 20, 24],
       dtype=int64)                                                     ]",0.099449,Climber-v0,Genetic Algorithm
83fa4372-f55d-4e25-9d16-8176ced7b90f,"[array([0, 4, 1, 3, 2, 0, 0], dtype=int64)
 array([1, 4, 3, 3, 1, 1, 2], dtype=int64)
 array([0, 2, 0, 3, 1, 4, 1], dtype=int64)
 array([0, 0, 0, 2, 2, 0, 0], dtype=int64)
 array([0, 3, 1, 4, 4, 1, 0], dtype=int64)]","[array([ 1,  1,  2,  2,  3,  3,  4,  7,  8,  8,  9, 10, 10, 11, 11, 12, 12,
        13, 17, 17, 18, 18, 19, 24, 24, 25, 29, 30, 31, 32], dtype=int64)
 array([ 2,  8,  3,  9,  4, 10, 11,  8,  9, 15, 10, 11, 17, 12, 18, 13, 19,
        20, 18, 24, 19, 25, 20, 25, 31, 32, 30, 31, 32, 33], dtype=int64)  ]",-0.64614,Lifter-v0,Genetic Algorithm
e1bdcdce-30e1-49ae-b1a1-ba68bb7ac2f9,"[array([0, 0, 2, 3, 0], dtype=int64) array([0, 2, 1, 4, 3], dtype=int64)
 array([2, 4, 0, 0, 1], dtype=int64) array([1, 0, 0, 1, 4], dtype=int64)
 array([4, 4, 0, 0, 3], dtype=int64)]","[array([ 2,  2,  3,  6,  6,  7,  8,  9, 10, 10, 14, 15, 18, 19, 20],
       dtype=int64)
 array([ 3,  7,  8,  7, 11,  8,  9, 14, 11, 15, 19, 20, 19, 24, 21],
       dtype=int64)                                                 ]",1.424215,BeamSlider-v0,Genetic Algorithm
97dfe26a-9301-4463-91e8-e92879357a27,"[array([4, 4, 0, 2, 2], dtype=int64) array([0, 1, 0, 2, 3], dtype=int64)
 array([2, 1, 2, 4, 1], dtype=int64) array([3, 0, 4, 1, 4], dtype=int64)
 array([0, 0, 0, 1, 2], dtype=int64)]","[array([ 0,  1,  3,  3,  4,  6,  8,  8,  9, 10, 10, 11, 12, 12, 13, 13, 14,
        17, 18, 18, 19, 23], dtype=int64)
 array([ 1,  6,  4,  8,  9, 11,  9, 13, 14, 11, 15, 12, 13, 17, 14, 18, 19,
        18, 19, 23, 24, 24], dtype=int64)                                  ]",2.147148,BridgeWalker-v0,Genetic Algorithm
4453632c-174b-4564-9898-8021c2c72f33,"[array([1, 2, 2, 0, 0], dtype=int64) array([4, 3, 3, 4, 2], dtype=int64)
 array([4, 0, 3, 0, 0], dtype=int64) array([0, 0, 3, 2, 0], dtype=int64)
 array([0, 0, 4, 4, 4], dtype=int64)]","[array([ 0,  0,  1,  1,  2,  5,  5,  6,  7,  7,  8, 12, 17, 17, 18, 22, 23],
       dtype=int64)
 array([ 1,  5,  2,  6,  7,  6, 10,  7,  8, 12,  9, 17, 18, 22, 23, 23, 24],
       dtype=int64)                                                         ]",0.995057,UpStepper-v0,Genetic Algorithm
83d9ff9e-21d3-42be-af08-1d3e2e65929d,"[array([0, 0, 0, 0, 3], dtype=int64) array([4, 0, 1, 4, 3], dtype=int64)
 array([4, 1, 0, 1, 0], dtype=int64) array([1, 2, 3, 3, 1], dtype=int64)
 array([0, 0, 0, 1, 1], dtype=int64)]","[array([ 4,  5,  7,  8,  8, 10, 10, 11, 13, 15, 16, 17, 18, 18, 19, 23],
       dtype=int64)
 array([ 9, 10,  8,  9, 13, 11, 15, 16, 18, 16, 17, 18, 19, 23, 24, 24],
       dtype=int64)                                                     ]",-0.090115,Thrower-v0,Genetic Algorithm
4147aba5-b119-471e-a4ab-09e0576eed4f,"[array([1, 3, 3, 4, 0], dtype=int64) array([2, 4, 0, 4, 0], dtype=int64)
 array([4, 0, 4, 3, 2], dtype=int64) array([1, 0, 4, 2, 2], dtype=int64)
 array([4, 0, 0, 0, 4], dtype=int64)]","[array([ 0,  0,  1,  1,  2,  3,  5,  5,  8, 10, 12, 12, 13, 13, 14, 15, 17,
        18, 19], dtype=int64)
 array([ 1,  5,  2,  6,  3,  8,  6, 10, 13, 15, 13, 17, 14, 18, 19, 20, 18,
        19, 24], dtype=int64)                                              ]",3.933763,Walker-v0,Genetic Algorithm
